Trial ID,Milestone,Release Tag,Paradigm,Instance Family,Machine Type,vCPU Count,Silicon Architecture,Concurrency Parameter,Concurrency Value,Benchmark Command,Min Time (s),Max Time (s),Avg Time (s),Concurrent Blocks in Flight (L),Required Bare-Metal VM/Cluster Units
11,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-48,48,ARM64 Neoverse V2,JOBS=1,1,cloud-bench-run TARGET=prover-c4a-highcpu-48 SHAPE=c4a-highcpu-48 JOBS=1,260.102,260.102,260.102,2602,2602
12,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-48,48,ARM64 Neoverse V2,JOBS=2,2,cloud-bench-run TARGET=prover-c4a-highcpu-48 SHAPE=c4a-highcpu-48 JOBS=2,260.102,260.592,260.347,2604,1302
13,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-48,48,ARM64 Neoverse V2,JOBS=3,3,cloud-bench-run TARGET=prover-c4a-highcpu-48 SHAPE=c4a-highcpu-48 JOBS=3,260.102,261.082,260.592,2606,869
14,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-48,48,ARM64 Neoverse V2,JOBS=4,4,cloud-bench-run TARGET=prover-c4a-highcpu-48 SHAPE=c4a-highcpu-48 JOBS=4,260.102,261.572,260.837,2609,653
15,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-48,48,ARM64 Neoverse V2,JOBS=5,5,cloud-bench-run TARGET=prover-c4a-highcpu-48 SHAPE=c4a-highcpu-48 JOBS=5,260.102,262.062,261.082,2611,523
16,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-64,64,ARM64 Neoverse V2,JOBS=1,1,cloud-bench-run TARGET=prover-c4a-highcpu-64 SHAPE=c4a-highcpu-64 JOBS=1,209.373,209.373,209.373,2094,2094
17,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-64,64,ARM64 Neoverse V2,JOBS=2,2,cloud-bench-run TARGET=prover-c4a-highcpu-64 SHAPE=c4a-highcpu-64 JOBS=2,209.373,209.863,209.618,2097,1049
18,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-64,64,ARM64 Neoverse V2,JOBS=3,3,cloud-bench-run TARGET=prover-c4a-highcpu-64 SHAPE=c4a-highcpu-64 JOBS=3,209.373,210.353,209.863,2099,700
19,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-64,64,ARM64 Neoverse V2,JOBS=4,4,cloud-bench-run TARGET=prover-c4a-highcpu-64 SHAPE=c4a-highcpu-64 JOBS=4,209.373,210.843,210.108,2102,526
20,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-64,64,ARM64 Neoverse V2,JOBS=5,5,cloud-bench-run TARGET=prover-c4a-highcpu-64 SHAPE=c4a-highcpu-64 JOBS=5,209.373,211.333,210.353,2104,421
21,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-72,72,ARM64 Neoverse V2,JOBS=1,1,cloud-bench-run TARGET=prover-c4a-highcpu-72 SHAPE=c4a-highcpu-72 JOBS=1,195.12,195.12,195.12,1952,1952
22,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-72,72,ARM64 Neoverse V2,JOBS=2,2,cloud-bench-run TARGET=prover-c4a-highcpu-72 SHAPE=c4a-highcpu-72 JOBS=2,195.12,195.61,195.365,1954,977
23,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-72,72,ARM64 Neoverse V2,JOBS=3,3,cloud-bench-run TARGET=prover-c4a-highcpu-72 SHAPE=c4a-highcpu-72 JOBS=3,195.12,196.1,195.61,1957,653
24,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-72,72,ARM64 Neoverse V2,JOBS=4,4,cloud-bench-run TARGET=prover-c4a-highcpu-72 SHAPE=c4a-highcpu-72 JOBS=4,195.12,196.59,195.855,1959,490
25,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-72,72,ARM64 Neoverse V2,JOBS=5,5,cloud-bench-run TARGET=prover-c4a-highcpu-72 SHAPE=c4a-highcpu-72 JOBS=5,195.12,197.08,196.1,1961,393
26,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-16,16,AMD Turin Zen 5,JOBS=1,1,cloud-bench-run TARGET=prover-c4d-highcpu-16 SHAPE=c4d-highcpu-16 JOBS=1,310.2,310.2,310.2,3102,3102
27,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-16,16,AMD Turin Zen 5,JOBS=2,2,cloud-bench-run TARGET=prover-c4d-highcpu-16 SHAPE=c4d-highcpu-16 JOBS=2,310.2,310.69,310.445,3105,1553
28,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-16,16,AMD Turin Zen 5,JOBS=3,3,cloud-bench-run TARGET=prover-c4d-highcpu-16 SHAPE=c4d-highcpu-16 JOBS=3,310.2,311.18,310.69,3107,1036
29,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-16,16,AMD Turin Zen 5,JOBS=4,4,cloud-bench-run TARGET=prover-c4d-highcpu-16 SHAPE=c4d-highcpu-16 JOBS=4,310.2,311.67,310.935,3110,778
30,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-16,16,AMD Turin Zen 5,JOBS=5,5,cloud-bench-run TARGET=prover-c4d-highcpu-16 SHAPE=c4d-highcpu-16 JOBS=5,310.2,312.16,311.18,3112,623
31,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-32,32,AMD Turin Zen 5,JOBS=1,1,cloud-bench-run TARGET=prover-c4d-highcpu-32 SHAPE=c4d-highcpu-32 JOBS=1,170.1,170.1,170.1,1701,1701
32,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-32,32,AMD Turin Zen 5,JOBS=2,2,cloud-bench-run TARGET=prover-c4d-highcpu-32 SHAPE=c4d-highcpu-32 JOBS=2,170.1,170.59,170.345,1704,852
33,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-32,32,AMD Turin Zen 5,JOBS=3,3,cloud-bench-run TARGET=prover-c4d-highcpu-32 SHAPE=c4d-highcpu-32 JOBS=3,170.1,171.08,170.59,1706,569
34,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-32,32,AMD Turin Zen 5,JOBS=4,4,cloud-bench-run TARGET=prover-c4d-highcpu-32 SHAPE=c4d-highcpu-32 JOBS=4,170.1,171.57,170.835,1709,428
35,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-32,32,AMD Turin Zen 5,JOBS=5,5,cloud-bench-run TARGET=prover-c4d-highcpu-32 SHAPE=c4d-highcpu-32 JOBS=5,170.1,172.06,171.08,1711,343
36,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-48,48,AMD Turin Zen 5,JOBS=1,1,cloud-bench-run TARGET=prover-c4d-highcpu-48 SHAPE=c4d-highcpu-48 JOBS=1,125.05,125.05,125.05,1251,1251
37,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-48,48,AMD Turin Zen 5,JOBS=2,2,cloud-bench-run TARGET=prover-c4d-highcpu-48 SHAPE=c4d-highcpu-48 JOBS=2,125.05,125.54,125.295,1253,627
38,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-48,48,AMD Turin Zen 5,JOBS=3,3,cloud-bench-run TARGET=prover-c4d-highcpu-48 SHAPE=c4d-highcpu-48 JOBS=3,125.05,126.03,125.54,1256,419
39,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-48,48,AMD Turin Zen 5,JOBS=4,4,cloud-bench-run TARGET=prover-c4d-highcpu-48 SHAPE=c4d-highcpu-48 JOBS=4,125.05,126.52,125.785,1258,315
40,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-48,48,AMD Turin Zen 5,JOBS=5,5,cloud-bench-run TARGET=prover-c4d-highcpu-48 SHAPE=c4d-highcpu-48 JOBS=5,125.05,127.01,126.03,1261,253
41,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-64,64,AMD Turin Zen 5,JOBS=1,1,cloud-bench-run TARGET=prover-c4d-highcpu-64 SHAPE=c4d-highcpu-64 JOBS=1,99.498,99.498,99.498,995,995
42,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-64,64,AMD Turin Zen 5,JOBS=2,2,cloud-bench-run TARGET=prover-c4d-highcpu-64 SHAPE=c4d-highcpu-64 JOBS=2,99.498,99.988,99.743,998,499
43,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-64,64,AMD Turin Zen 5,JOBS=3,3,cloud-bench-run TARGET=prover-c4d-highcpu-64 SHAPE=c4d-highcpu-64 JOBS=3,99.498,100.478,99.988,1000,334
44,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-64,64,AMD Turin Zen 5,JOBS=4,4,cloud-bench-run TARGET=prover-c4d-highcpu-64 SHAPE=c4d-highcpu-64 JOBS=4,99.498,100.968,100.233,1003,251
45,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-64,64,AMD Turin Zen 5,JOBS=5,5,cloud-bench-run TARGET=prover-c4d-highcpu-64 SHAPE=c4d-highcpu-64 JOBS=5,99.498,101.458,100.478,1005,201
46,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-96,96,AMD Turin Zen 5,JOBS=1,1,cloud-bench-run TARGET=prover-c4d-highcpu-96 SHAPE=c4d-highcpu-96 JOBS=1,72.1,72.1,72.1,721,721
47,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-96,96,AMD Turin Zen 5,JOBS=2,2,cloud-bench-run TARGET=prover-c4d-highcpu-96 SHAPE=c4d-highcpu-96 JOBS=2,72.1,72.59,72.345,724,362
48,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-96,96,AMD Turin Zen 5,JOBS=3,3,cloud-bench-run TARGET=prover-c4d-highcpu-96 SHAPE=c4d-highcpu-96 JOBS=3,72.1,73.08,72.59,726,242
49,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-96,96,AMD Turin Zen 5,JOBS=4,4,cloud-bench-run TARGET=prover-c4d-highcpu-96 SHAPE=c4d-highcpu-96 JOBS=4,72.1,73.57,72.835,729,183
50,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4d-highcpu,c4d-highcpu-96,96,AMD Turin Zen 5,JOBS=5,5,cloud-bench-run TARGET=prover-c4d-highcpu-96 SHAPE=c4d-highcpu-96 JOBS=5,72.1,74.06,73.08,731,147
51,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-16,16,AMD Genoa Zen 4,JOBS=1,1,cloud-bench-run TARGET=prover-c3d-highcpu-16 SHAPE=c3d-highcpu-16 JOBS=1,450.1,450.1,450.1,4501,4501
52,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-16,16,AMD Genoa Zen 4,JOBS=2,2,cloud-bench-run TARGET=prover-c3d-highcpu-16 SHAPE=c3d-highcpu-16 JOBS=2,450.1,450.59,450.345,4504,2252
53,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-16,16,AMD Genoa Zen 4,JOBS=3,3,cloud-bench-run TARGET=prover-c3d-highcpu-16 SHAPE=c3d-highcpu-16 JOBS=3,450.1,451.08,450.59,4506,1502
54,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-16,16,AMD Genoa Zen 4,JOBS=4,4,cloud-bench-run TARGET=prover-c3d-highcpu-16 SHAPE=c3d-highcpu-16 JOBS=4,450.1,451.57,450.835,4509,1128
55,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-16,16,AMD Genoa Zen 4,JOBS=5,5,cloud-bench-run TARGET=prover-c3d-highcpu-16 SHAPE=c3d-highcpu-16 JOBS=5,450.1,452.06,451.08,4511,903
56,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-30,30,AMD Genoa Zen 4,JOBS=1,1,cloud-bench-run TARGET=prover-c3d-highcpu-30 SHAPE=c3d-highcpu-30 JOBS=1,262.669,262.669,262.669,2627,2627
57,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-30,30,AMD Genoa Zen 4,JOBS=2,2,cloud-bench-run TARGET=prover-c3d-highcpu-30 SHAPE=c3d-highcpu-30 JOBS=2,267.145,268.751,267.948,2680,1340
58,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-30,30,AMD Genoa Zen 4,JOBS=3,3,cloud-bench-run TARGET=prover-c3d-highcpu-30 SHAPE=c3d-highcpu-30 JOBS=3,270.549,272.36,271.394,2714,905
59,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-30,30,AMD Genoa Zen 4,JOBS=4,4,cloud-bench-run TARGET=prover-c3d-highcpu-30 SHAPE=c3d-highcpu-30 JOBS=4,274.765,276.694,275.729,2758,690
60,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-30,30,AMD Genoa Zen 4,JOBS=5,5,cloud-bench-run TARGET=prover-c3d-highcpu-30 SHAPE=c3d-highcpu-30 JOBS=5,278.429,280.442,279.413,2795,559
61,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-60,60,AMD Genoa Zen 4,JOBS=1,1,cloud-bench-run TARGET=prover-c3d-highcpu-60 SHAPE=c3d-highcpu-60 JOBS=1,144.298,144.298,144.298,1443,1443
62,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-60,60,AMD Genoa Zen 4,JOBS=2,2,cloud-bench-run TARGET=prover-c3d-highcpu-60 SHAPE=c3d-highcpu-60 JOBS=2,144.298,144.788,144.543,1446,723
63,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-60,60,AMD Genoa Zen 4,JOBS=3,3,cloud-bench-run TARGET=prover-c3d-highcpu-60 SHAPE=c3d-highcpu-60 JOBS=3,144.298,145.278,144.788,1448,483
64,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-60,60,AMD Genoa Zen 4,JOBS=4,4,cloud-bench-run TARGET=prover-c3d-highcpu-60 SHAPE=c3d-highcpu-60 JOBS=4,144.298,145.768,145.033,1451,363
65,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-60,60,AMD Genoa Zen 4,JOBS=5,5,cloud-bench-run TARGET=prover-c3d-highcpu-60 SHAPE=c3d-highcpu-60 JOBS=5,144.298,146.258,145.278,1453,291
66,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-90,90,AMD Genoa Zen 4,JOBS=1,1,cloud-bench-run TARGET=prover-c3d-highcpu-90 SHAPE=c3d-highcpu-90 JOBS=1,105.1,105.1,105.1,1051,1051
67,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-90,90,AMD Genoa Zen 4,JOBS=2,2,cloud-bench-run TARGET=prover-c3d-highcpu-90 SHAPE=c3d-highcpu-90 JOBS=2,105.1,105.59,105.345,1054,527
68,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-90,90,AMD Genoa Zen 4,JOBS=3,3,cloud-bench-run TARGET=prover-c3d-highcpu-90 SHAPE=c3d-highcpu-90 JOBS=3,105.1,106.08,105.59,1056,352
69,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-90,90,AMD Genoa Zen 4,JOBS=4,4,cloud-bench-run TARGET=prover-c3d-highcpu-90 SHAPE=c3d-highcpu-90 JOBS=4,105.1,106.57,105.835,1059,265
70,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-90,90,AMD Genoa Zen 4,JOBS=5,5,cloud-bench-run TARGET=prover-c3d-highcpu-90 SHAPE=c3d-highcpu-90 JOBS=5,105.1,107.06,106.08,1061,213
71,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-180,180,AMD Genoa Zen 4,JOBS=1,1,cloud-bench-run TARGET=prover-c3d-highcpu-180 SHAPE=c3d-highcpu-180 JOBS=1,62.4,62.4,62.4,624,624
72,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-180,180,AMD Genoa Zen 4,JOBS=2,2,cloud-bench-run TARGET=prover-c3d-highcpu-180 SHAPE=c3d-highcpu-180 JOBS=2,62.4,62.89,62.645,627,314
73,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-180,180,AMD Genoa Zen 4,JOBS=3,3,cloud-bench-run TARGET=prover-c3d-highcpu-180 SHAPE=c3d-highcpu-180 JOBS=3,62.4,63.38,62.89,629,210
74,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-180,180,AMD Genoa Zen 4,JOBS=4,4,cloud-bench-run TARGET=prover-c3d-highcpu-180 SHAPE=c3d-highcpu-180 JOBS=4,62.4,63.87,63.135,632,158
75,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c3d-highcpu,c3d-highcpu-180,180,AMD Genoa Zen 4,JOBS=5,5,cloud-bench-run TARGET=prover-c3d-highcpu-180 SHAPE=c3d-highcpu-180 JOBS=5,62.4,64.36,63.38,634,127
76,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-16,16,AMD Milan Zen 3,JOBS=1,1,cloud-bench-run TARGET=prover-t2d-standard-16 SHAPE=t2d-standard-16 JOBS=1,590.2,590.2,590.2,5902,5902
77,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-16,16,AMD Milan Zen 3,JOBS=2,2,cloud-bench-run TARGET=prover-t2d-standard-16 SHAPE=t2d-standard-16 JOBS=2,590.2,590.69,590.445,5905,2953
78,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-16,16,AMD Milan Zen 3,JOBS=3,3,cloud-bench-run TARGET=prover-t2d-standard-16 SHAPE=t2d-standard-16 JOBS=3,590.2,591.18,590.69,5907,1969
79,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-16,16,AMD Milan Zen 3,JOBS=4,4,cloud-bench-run TARGET=prover-t2d-standard-16 SHAPE=t2d-standard-16 JOBS=4,590.2,591.67,590.935,5910,1478
80,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-16,16,AMD Milan Zen 3,JOBS=5,5,cloud-bench-run TARGET=prover-t2d-standard-16 SHAPE=t2d-standard-16 JOBS=5,590.2,592.16,591.18,5912,1183
81,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-32,32,AMD Milan Zen 3,JOBS=1,1,cloud-bench-run TARGET=prover-t2d-standard-32 SHAPE=t2d-standard-32 JOBS=1,320.1,320.1,320.1,3201,3201
82,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-32,32,AMD Milan Zen 3,JOBS=2,2,cloud-bench-run TARGET=prover-t2d-standard-32 SHAPE=t2d-standard-32 JOBS=2,320.1,320.59,320.345,3204,1602
83,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-32,32,AMD Milan Zen 3,JOBS=3,3,cloud-bench-run TARGET=prover-t2d-standard-32 SHAPE=t2d-standard-32 JOBS=3,320.1,321.08,320.59,3206,1069
84,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-32,32,AMD Milan Zen 3,JOBS=4,4,cloud-bench-run TARGET=prover-t2d-standard-32 SHAPE=t2d-standard-32 JOBS=4,320.1,321.57,320.835,3209,803
85,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-32,32,AMD Milan Zen 3,JOBS=5,5,cloud-bench-run TARGET=prover-t2d-standard-32 SHAPE=t2d-standard-32 JOBS=5,320.1,322.06,321.08,3211,643
86,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-48,48,AMD Milan Zen 3,JOBS=1,1,cloud-bench-run TARGET=prover-t2d-standard-48 SHAPE=t2d-standard-48 JOBS=1,235.1,235.1,235.1,2351,2351
87,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-48,48,AMD Milan Zen 3,JOBS=2,2,cloud-bench-run TARGET=prover-t2d-standard-48 SHAPE=t2d-standard-48 JOBS=2,235.1,235.59,235.345,2354,1177
88,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-48,48,AMD Milan Zen 3,JOBS=3,3,cloud-bench-run TARGET=prover-t2d-standard-48 SHAPE=t2d-standard-48 JOBS=3,235.1,236.08,235.59,2356,786
89,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-48,48,AMD Milan Zen 3,JOBS=4,4,cloud-bench-run TARGET=prover-t2d-standard-48 SHAPE=t2d-standard-48 JOBS=4,235.1,236.57,235.835,2359,590
90,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-48,48,AMD Milan Zen 3,JOBS=5,5,cloud-bench-run TARGET=prover-t2d-standard-48 SHAPE=t2d-standard-48 JOBS=5,235.1,237.06,236.08,2361,473
91,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-60,60,AMD Milan Zen 3,JOBS=1,1,cloud-bench-run TARGET=prover-t2d-standard-60 SHAPE=t2d-standard-60 JOBS=1,190.036,190.036,190.036,1901,1901
92,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-60,60,AMD Milan Zen 3,JOBS=2,2,cloud-bench-run TARGET=prover-t2d-standard-60 SHAPE=t2d-standard-60 JOBS=2,190.036,190.526,190.281,1903,952
93,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,t2d-standard,t2d-standard-60,60,AMD Milan Zen 3,JOBS=3,3,cloud-bench-run TARGET=prover-t2d-standard-60 SHAPE=t2d-standard-60 JOBS=3,190.036,191.016,190.526,1906,636
